name,representative,accounting_officer,address,established,shitei
『明日の日本』研究会,佐藤　ゆかり,林　武,大阪府枚方市宮之阪１－２３－１２,H17.12.22,有
あぜもと将吾連合後援会,佐々木　ベジ,束村　光彦,広島県広島市中区舟入本町１３－４,R2.6.15
麻生太郎先生を囲む会,田村　一,川本　英弘,大阪府泉佐野市鶴原５－２－３２,H10.3.30
足立信也と安心な日本を創る会,足立　信也,財津　哲治,大分県大分市下郡南４－２－１３,H18.3.15,有
足立敏之後援会,足立　敏之,尾林　達成,東京都千代田区飯田橋１－４－１,H27.7.3,有
新しい政治をつくる会,梶川　高則,谷川　文朗,東京都港区芝公園２－４－１,S51.2.25
「新しい日本」,杉田　健,杉田　健,東京都大田区南雪谷３－７－２０,H23.2.18
新しいまちづくりに取り組むＮＷＵメンバーの会,塩田　明,伊藤　恒雄,東京都港区芝３－３９－９,H9.9.1
アッチェル・えだの幸男と２１世紀をつくる会,枝野　幸男,枝野　佐智子,埼玉県さいたま市大宮区大門町２－１０８－５,H5.4.21,有
篤姫会,門田　節代,門田　節代,三重県伊賀市桐ヶ丘６－１１３,H30.11.19
Ｕｐｒｉｇｈｔ,若子　直也,若子　洋司,愛知県長久手市武蔵塚１２２１－２,R2.11.6,有
あなたの声をきく党,重黒木　優平,重黒木　優平,神奈川県藤沢市村岡東２－７０４－２,R3.7.19
あなたのための政治,松川　公浩,松川　公浩,神奈川県相模原市緑区西橋本３－５－９,H19.1.11
あなたを大切にする政治,松川　公浩,松川　公浩,神奈川県相模原市緑区西橋本３－５－９,H19.2.16
あなたを守る政治,松川　公浩,松川　公浩,神奈川県相模原市緑区西橋本３－５－９,H19.1.11
アニマリズム党,目黒　峰人,目黒　峰人,東京都国分寺市高木町１－５－３４,R1.11.1
アピール２１,豊田　弘,青木　隆夫,東京都千代田区神田駿河台３－６,H17.1.6
あべ俊子後援会,阿部　俊子,山谷　冨美枝,岡山県津山市川崎１６２－５,H17.10.12
あべ俊子政策研究会,阿部　俊子,山谷　冨美枝,東京都千代田区永田町２－２－１,H17.11.1,有
あらい和夫後援会,荒井　和夫,渡辺　浩志,東京都中央区銀座８－１２－６,H13.2.6,有
荒木則之後援会,荒木　則之,荒木　幸代,大阪府堺市中区陶器北１２８３－１６,H7.5.16
嵐,立花　孝志,立花　孝志,東京都葛飾区東新小岩１－１－１,R3.6.23
荒巻靖彦後援会,荒巻　靖彦,村上　利一,大阪府大阪市北区堂山町８－１８,R2.1.10
有田芳生後援会,有田　芳生,有田　芳生,東京都練馬区早宮１－４７－９,H23.11.8
ありむら治子後援会,有村　治子,髙橋　弘光,東京都千代田区永田町２－１－１,H13.3.7,有
アルカリ党,立花　孝志,立花　孝志,東京都葛飾区東新小岩１－１－１,R3.6.7
Ｒ．Ｄ．Ｍ．サポート２１,金光　亮典,尾林　達成,東京都港区西新橋１－１９－６,H19.3.5
暗黒党,久保田　学,久保田　学,東京都立川市柴崎町３－１２－９,R3.6.1
安藤たかお後援会,安藤　高夫,風間　宏幸,東京都練馬区豊玉北５－１７－４,H22.2.16,有
安楽死制度を考える会,佐野　秀光,佐野　秀光,東京都大田区蒲田４－２２－２,H21.6.5
安楽死党,藤森　正章,藤森　正章,東京都板橋区小豆沢１－１５－７,H30.4.4
ＥＴ党,神谷　昭,神谷　昭,東京都千代田区九段北１－９－５,R3.5.11
イイネ,吉田　豊史,吉田　幹広,富山県富山市西長江３－１－１４,R4.11.21
ＥＭＡ日本基金,寺田　和弘,寺田　和弘,東京都世田谷区三軒茶屋２－５４－３,H25.10.7
育元会,中谷　元,豊田　圭三,東京都千代田区永田町２－１－２,H3.6.6,有
池田和隆国家戦略研究会,池田　和隆,野杁　基男,東京都港区赤坂７－２－６,H27.10.2
池田未来の会,石田　隆史,石田　隆史,大阪府池田市建石町９－１３,R4.3.22
池田黎明会,池田　佳隆,柿沼　和宏,愛知県名古屋市天白区天白町野並上大塚１２４－１,H23.10.17,有
為公会,麻生　太郎,坂本　克実,東京都千代田区平河町２－５－５,H19.1.4
いさ進一と進む会,春田　重昭,峰尾　聖志,大阪府大阪市西区新町４－１０－４,R2.6.26
石井政治経済研究会,石井　一二,中末　昭彦,東京都港区南青山１－１５－８,H13.10.12
石井一後援会連合会,石井　一,竹　伸二,兵庫県神戸市中央区北長狭通４－１－１２,H19.1.16
石井ひろおと未来を拓く会,石井　浩郎,黒川　茂雄,東京都千代田区永田町２－１－１,H22.12.6,有
石井苗子ときぼうの会,石井　苗子,橋本　範子,東京都文京区湯島１－１０－５,H28.6.2,有
石井苗子を支える会,石井　苗子,橋本　範子,東京都文京区湯島１－１０－５,H28.10.17
石井良恵を笑わせる会,石井　良恵,大堀　誠,東京都練馬区石神井町６－２７－１１,R4.8.12
石川大我にじいろの会,石川　大我,榎本　順一,東京都千代田区永田町２－１－１,H31.1.16,有
石川まさとし後援会,石川　雅俊,友部　伸,静岡県静岡市駿河区泉町１－１２,R4.6.2,有
石田たかし後援会,石田　隆史,石田　隆史,大阪府池田市建石町９－１３,R4.3.22,有
石田まさひろ政策研究会,石田　昌宏,五反分　正彦,東京都千代田区永田町２－１－１,H25.9.18,有
石破茂政経懇話会,石破　茂,杉本　訓志,鳥取県鳥取市戎町５１５－３,H19.8.20,有
石橋みちひろ後援会,石橋　通宏,太田　信一,東京都千代田区永田町２－１－１,H21.4.23,有
石橋林太郎後援会,石橋　林太郎,田丸　志野,広島県広島市安佐南区大町東１－１５－４,R4.1.7,有
石原伸晃の会,石原　伸晃,伊藤　壽宏,東京都杉並区成田東４－３９－１０,H1.7.10,有
衣・食・住を考える会,岡野　陽一,岡野　陽一,福岡県福岡市東区箱崎４－９－２３,H15.4.2
維新革命党,齊藤　修一郎,齊藤　修一郎,東京都西東京市下保谷５－１３－１９,H22.10.27
維新政党・新風,魚谷　哲央,黒田　秀高,京都府京都市中京区麩屋町通二条下る,H7.12.8
維新の会,松下　幸治,松下　幸治,大阪府大阪市大正区泉尾２－１４－９,H28.4.22
維新の会．東大阪,堂村　慎太郎,堂村　慎太郎,大阪府東大阪市川田１－２－２０,H26.8.1
井水会,井上　英孝,速水　眞二,東京都千代田区永田町２－２－１,H25.3.1,有
いずみ会,小泉　俊明,小泉　友梨佳,茨城県取手市井野３－１０－１７,H10.9.28,有
泉章子の子ども未来プロジェクト後援会,川崎　千恵子,泉　章子,大阪府茨木市東太田２－１６－２,H29.9.11
泉田裕彦政治経済防災研究会,泉田　裕彦,葛綿　亮子,東京都千代田区永田町２－１－２,H30.8.9,有
いすみの風とせんだ雄太後援会,中野　雄太,中野　幸子,千葉県いすみ市岬町和泉７０３－２３,R4.3.4
以正会,寺田　慶子,佐野　良伸,東京都千代田区二番町１０－３４,H16.3.11
為政会,横粂　勝仁,横粂　勝仁,東京都千代田区霞が関３－６－１４,H28.4.1
伊勢守會政治結社天照大東亜憂國塾,野呂　昇,野呂　昇,青森県黒石市北美町２－７６－４,R2.7.17
磯子区薬剤師連盟,岩﨑　勉,安武　恵美子,神奈川県横浜市磯子区杉田４－６－１８,H24.1.12
いそざき哲史を支援する会,梶川　高則,谷川　文朗,東京都港区芝公園２－４－１,H24.7.30
いそざき陽輔新風会,礒崎　陽輔,下川　ナナ子,大分県大分市長浜町２－１２－１０,H19.3.28,有
いそざき陽輔東京後援会,秋𠮷　豊治,下川　ナナ子,東京都練馬区貫井２－７－２,H20.7.11
一宇憂國社,若田部　安夫,川島　利幸,栃木県佐野市堀米町３６３４－２,S59.3.6
一丸研究会,馬淵　澄夫,森田　浩行,東京都台東区台東４－１７－５,H31.2.6
一丸の党,小畑　治彦,小畑　治彦,大阪府東大阪市楠根２－１２－１３,R3.5.17
一丸の党,伊藤　千穂,佐藤　憩孝,神奈川県横浜市南区高砂町１－１０－４,R3.8.30
市光工業労働組合政治活動委員会,岸　峰行,古井　信幸,神奈川県伊勢原市板戸８０,S53.10.23
一宮市薬剤師連盟,小川　勝人,杉本　重雄,愛知県一宮市貴船町３－２,H22.11.11
一麦誠學舎,梶山　忠弘,梶山　忠弘,東京都中央区銀座８－１４－９,H22.8.10
一番星,小山　徹,小山　徹,愛知県刈谷市池田町１－１０４－４,H28.12.14
一皇會,松本　哲也,松本　さくら,群馬県邑楽郡板倉町除川１１４１－８,R2.11.12
一照会,川野　邦仁,川野　邦仁,東京都狛江市西野川４－３１－６,S62.6.13
一伸会,山本　一太,原　弘之,群馬県前橋市元総社町１－３－１０,H7.6.19,有
一新会,鈴木　克昌,樋高　剛,東京都練馬区光が丘７－８－１,H18.8.30
一心会,小松原　守,黒川　英樹,島根県松江市東朝日町７,H23.1.26
一水会,木村　三浩,永吉　晋,東京都新宿区下落合１－２－５,H12.4.6
一徳会,井上　一徳,井上　幸子,京都府舞鶴市字森５３４,H29.11.24,有
一般財団法人ＷＩＮ　ＷＩＮ,赤松　良子,山口　積惠,東京都渋谷区代々木２－２３－１,H15.7.1
一票一心の会,大島　九州男,菊井　一九,福岡県直方市大字感田１４６６－３,H21.9.28
いとう会,伊藤　信太郎,熊谷　守広,東京都千代田区永田町２－１－２,H13.11.8,有
伊藤たかえを応援する会,但馬　久美,井上　幸作,兵庫県神戸市中央区八幡通４－１－６,R4.4.8
伊藤隆広後援会連合会,伊藤　隆広,倉田　直樹,千葉県千葉市美浜区幸町１－１８－７,H28.1.7,有
伊藤忠彦後援会,伊藤　忠彦,伊藤　忠彦,愛知県知多市岡田字向田６１,H7.8.18,有
いとう渉を育てる会,伊藤　渉,村本　豊,愛知県名古屋市南区本城町３－５－１,H17.11.2,有
糸川正晃後援会,糸川　正晃,糸川　永利子,東京都世田谷区上用賀１－６－２,R1.12.13
いなつ久と進む会,風間　昶,高橋　不二峰,北海道札幌市中央区南六条西１１－１２８５－８,R2.6.26
犬猫党,堀池　宏,落合　康恵,東京都港区赤坂３－１－１６,R2.1.15
犬丸勝子と共和党,犬丸　光加,犬丸　光加,福岡県福岡市東区箱崎２－４２－１,H26.6.9
猪口邦子後援会,猪口　邦子,斎藤　久代,千葉県千葉市中央区新田町１４－５,H19.6.27
猪瀬直樹後援会,猪瀬　直樹,鈴木　重雄,東京都港区南青山２－２－１５,R4.6.3,有
いのちの党,相田　勲,牧田　智行,東京都千代田区平河町１－５－１５,R3.2.26
茨城石岡支部政治結社英魂塾,中村　登美雄,藤岡　洋,茨城県石岡市大砂１０３４７－３,H25.9.10
今村雅弘を支援する会,渡邊　晴一朗,久田　郁男,福岡県福岡市博多区博多駅東２－５－２８,H7.4.3
井本ひでおを育てる会,土佐田　秀文,土佐田　秀文,宮崎県延岡市小野町６８９２－１,H5.3.4
医薬化粧品産業労働組合連合会政治連盟,浅野　,剛志,水上　裕一,東京都中央区日本橋本町３－８－３,R2.6.1
ＩＲＡＮ　ＬＩＢＥＲＡＬ　ＤＥＭＯＣＲＡＴＩＣ　ＰＡＲＴＹ,マルダニ　真秀豊,木船　彰,神奈川県横浜市中区本牧三之谷３－２２,H20.10.15
医療大麻開放党,山﨑　雅之,安斎　太郎,兵庫県尼崎市東園田町８－９５－８,H26.7.2
医療問題懇話会,松本　吉郎,釜萢　敏,東京都文京区本駒込５－１９－２,H19.11.6
岩井茂樹後援会,岩井　茂樹,勝又　康充,静岡県三島市富士ビレッジ３３－２６,H30.12.25,有
巌の会,沖本　馨,鈴木　克己,東京都渋谷区代々木２－２３－１,R3.9.6
いわね塾,吉内　裕,吉内　裕,大阪府大阪市平野区瓜破西２－６－３５,H29.8.21
印鑑から国民を守る党,近藤　祐輝,近藤　祐輝,埼玉県さいたま市南区文蔵４－４－１１,R1.9.18
インターネット党,西銘　和男,西銘　和男,東京都港区赤坂９－１－７,H13.1.10
引退競走馬党,渡邊　宜昭,渡邊　宜昭,福岡県福岡市城南区東油山６－８－１６,R3.4.2
Ｉｎｄｉｇｏ　Ｐａｒｔｙ,三木　立,島田　健作,東京都渋谷区南平台町１８－２０,H19.10.16
インナートリップイデオローグリサーチセンター,近藤　喜彦,堀江　孝,東京都港区麻布台１－９－２,S51.4.22
ＷＥ　ＡＲＥ　ＡＬＬ　ＯＮＥ,須藤　元気,御子貝　浩太,東京都千代田区永田町２－１－１,R1.7.3,有
ウイグルを応援する全国地方議員の会,丸山　治章,笠間　昇,神奈川県逗子市小坪３－１４－２,R3.4.7
上田いさむ後援会,稲葉　光彦,嶋林　秀一,静岡県静岡市駿河区大和１－５－２６,R4.12.28
上田いさむ後援会,上田　勇,上田　勇,静岡県静岡市駿河区大和１－４－２６,R4.2.10
上田いさむ政経懇話会,上田　勇,嶋林　秀一,静岡県静岡市駿河区大和１－５－２６,R4.12.28,有
うえだともかず後援会,植田　智一,植田　智一,東京都大田区蒲田５－３６－６,H30.5.23,有
うえの賢一郎・政経フォーラム,上野　賢一郎,浅山　禎信,滋賀県彦根市本町２－５－２,H17.7.19,有
うえの賢一郎を囲む公認会計士の会,田中　正志,田中　正志,滋賀県草津市野路１－８－１８,H29.7.3
上野宏史後援会,上野　宏史,三浦　恵美,群馬県前橋市千代田町４－１２－３,H29.11.29
上畠のりひろ鎌倉後援会,水品　壮二郎,水品　壮二郎,神奈川県鎌倉市佐助１－４－７,R3.3.9
上畠のりひろ慶友会,林　剣太,林　剣太,東京都中央区晴海３－１３－１,R3.1.28
浮島とも子後援会,井之上　智子,柏木　淳,大阪府大阪市中央区徳井町２－４－１５,H25.1.4,有
うた桜子の後援会,千葉　学,宇田　賢志,千葉県松戸市幸田２－２８６,R4.6.3
宇宙産業を身近にする党,浜田　智,浜田　智,大阪府東大阪市西堤本通東１－１－１,R4.5.6
美しき、良き国、日本へ。,八田　晋呉,八田　晋呉,東京都台東区松が谷１－１－６,R2.1.16
宇都宮ゆうこ後援会,宇都宮　優子,佐藤　寛文,大阪府寝屋川市寿町６１－８,R2.3.23
宇都隆史後援会,森　勉,安川　和仁,東京都新宿区市谷本村町３－２０,H21.12.3
宇都隆史を支える会,宇都　隆史,安川　和仁,東京都新宿区市谷本村町３－２０,H21.12.3,有
海風,相原　倫子,大泉　政浩,神奈川県藤沢市片瀬海岸１－１２－１７,R4.8.3
浦口高典後援会,栩野　嘉之,浦口　孝子,和歌山県和歌山市堀止西１－１０－１４,H4.3.25
宇和島自動車労働組合交通政策研究会,高瀬　康文,水野　聡志,愛媛県北宇和郡鬼北町川上２３９,H28.6.1
えいこのかけはし,木村　英子,入野田　智也,東京都千代田区永田町２－１－１,R1.8.8,有
英仁会,西島　英利,西島　英利,福岡県北九州市小倉北区砂津１－３－２７,H16.3.31
ＨＩＴコミュニケーションズ,井上　智史,前上　明,広島県広島市南区小磯町１－１,H20.8.21
英雄の会,小畑　治彦,小畑　治彦,大阪府東大阪市楠根２－１２－１３,R3.5.17
笑顔の会,今井　絵理子,神田　信浩,東京都千代田区永田町２－１－１,H28.2.10,有
笑顔の日本,伊藤　秀正,藤末　千紗,東京都中央区月島１－１５－１０,H18.7.18
益習会,梶山　弘志,山口　栄一,東京都千代田区永田町２－１－２,S51.2.27,有
えさきたかし後援会,江﨑　孝,鳥越　保浩,東京都千代田区六番町１,H21.6.18
ＳＳＳ－Ｒ,秋村　太,秋村　太,東京都墨田区東向島６－４６－１０,R1.9.19
ＳＳＫ,海老根　靖典,片山　清宏,東京都新宿区四谷３－１１,H24.9.10
衛藤征士郎後援会,小手川　強二,田中　一三,大分県佐伯市池船町２１－１,H7.6.12
江夏正敏後援会,佐々木　勝浩,佐々木　勝浩,東京都大田区西馬込１－２２－７,H31.4.11
ＮＥＣグループ連合政治活動委員会,伊藤　恒雄,滝澤　克彦,東京都港区芝３－３９－９,H15.10.15
ＮＨＫから国民を守る党,多田　光宏,多田　光宏,埼玉県志木市柏町６－１４－７,R1.6.25
ＮＨＫから国民を守る党,立花　孝志,立花　孝志,東京都葛飾区東新小岩１－１－１,R3.5.17
ＮＨＫから国民を守る党,佐直　友樹,佐直　友樹,千葉県市川市大洲４－７－４,R3.5.24
ＮＨＫから国民を守る党,原田　公成,原田　公成,埼玉県朝霞市仲町２－４,R3.5.24
ＮＨＫから国民を守る党,小川　友樹,小川　友樹,千葉県船橋市二宮１－５－５,R4.5.2
ＮＨＫから国民を守る党,久保田　学,久保田　学,東京都立川市柴崎町３－１２－９,R3.6.1
ＮＨＫから国民を守る党,梶谷　秀一,梶谷　美紗子,東京都杉並区成田西２－１６－３,R3.6.8
ＮＨＫから国民を守る党,小野澤　健至,小野澤　健至,埼玉県新座市北野３－１０－１１,R3.6.15
ＮＨＫから国民を守る党,武原　正二,武原　正二,兵庫県西宮市高須町２－１,R3.6.30
ＮＨＫから国民を守る党,古谷　孝,古谷　孝,埼玉県志木市本町５－２２－２２,R3.7.8
ＮＨＫ視聴者会議,神足　重治,神足　重治,東京都墨田区立花５－２３－１５,H30.11.1
ＮＨＫスクランブル放送実現党,立花　孝志,立花　孝志,東京都葛飾区東新小岩１－１－１,R3.2.9
ＮＨＫ党近畿支部,丸山　穂高,丸山　穂高,大阪府堺市堺区甲斐町東６－１－４,R3.5.19
ＮＨＫの弁護士法７２条違反を追及する党,立花　孝志,立花　孝志,東京都葛飾区東新小岩１－１－１,R3.2.9
ＮＴＣｌｕｂ,小笠原　浩之,福田　恵之,東京都千代田区永田町２－１７－１０,R4.5.26
エネルギアＬ＆Ｂパートナーズ労働組合政治活動委員会,小林　弘二,野村　涼馬,広島県広島市中区小町４－３３,H18.12.15
エネルギア・コミュニケーションズ労働組合政策・制度実現委員会,松井　貴史,亀田　 泰広,広島県広島市中区大手町２－１１－１０,H11.9.24
海老名市薬剤師連盟,山名　佳見,青木　茂昌,神奈川県海老名市東柏ケ谷２－１２－４１,H23.10.3
ｆｆ研究会,井上　義行,岩﨑　達哉,神奈川県小田原市栄町１－１４－４８,H21.1.30,有
ＭＰＤ・平和と民主運動,酒井　剛,酒井　剛,東京都練馬区田柄２－４２－３,S57.10.15
エンジニアリング部会組織内議員を支援し政策実現を推進する会,森岡　祥浩,野口　隆信,東京都中央区新川１－２３－４,H29.11.28
遠藤たかし後援会,遠藤　敬,川上　裕,大阪府高石市綾園２－７－１８,H25.7.29,有
「遠藤のぶひこ」を育てる会,遠藤　宣彦,遠藤　彰子,東京都世田谷区東玉川１－２４－２２,H18.1.12,有
塩結会,塩田　博昭,菊地　淑子,東京都世田谷区太子堂２－１４－２０,R1.12.2,有
桜下塾研究会,青木　愛,小原　貞裕,東京都北区岸町１－２－９,H19.6.6,有
大家さとしを育てる会,大家　敏志,伊原　隆敏,福岡県北九州市八幡東区中央３－８－２４,H24.4.25,有
大江戸政経会,菊地　進一,菊地　栄治,東京都江東区北砂３－１６－１３,H18.8.23
大岡敏孝を支える会,大岡　敏孝,石橋　広行,東京都千代田区永田町２－２－１,H27.7.7,有
大亀やすひこ後援会,大亀　泰彦,稲石　健,愛媛県松山市星岡町１－２３－２０,H13.8.2
大河原雅子と湧く湧く会議,大河原　雅子,塩田　三恵子,東京都立川市錦町１－１０－２５,H28.6.17,有
大木さとる事務所,大木　哲,大木　八千代,神奈川県大和市下鶴間２－２－３１,H6.9.29,有
大木政経法律総合研究所,大木　直樹,石川　進,栃木県芳賀郡芳賀町大字西高橋３６９３－２,H17.5.26
大きな夢マップを描く会,松本　淳一,谷川　久美,東京都北区田端新町１－２－１５,R3.5.14
大串博志後援会,大串　博志,北島　智孝,佐賀県小城市牛津町柿樋瀬１０６２－１,H17.4.28,有
大口よしのり後援会,大口　善德,山内　克則,東京都千代田区永田町２－１－２,H21.1.14,有
大阪麻生太郎後援会,田村　一,川本　英弘,大阪府泉佐野市鶴原５－２－３２,S58.4.8
大阪推進党,林　英樹,林　英樹,大阪府守口市金田町２－６－７,H26.6.24
太田房江後援会,齊藤　房江,近藤　泰裕,東京都千代田区永田町２－１－１,H25.8.9,有
オートバイ政治連盟,吉田　純一,吉田　純一,東京都港区赤坂２－１９－５,H13.12.13
大西つねき後援会,大西　恒樹,大西　恒樹,神奈川県横浜市都筑区見花山１－３０,R1.8.22
大仁田厚後援会,大仁田　厚,福井　謙二,佐賀県神埼市神埼町的２６６,H30.1.30,有
大村ひであき後援会,富田　清治,堀江　順治,愛知県安城市三河安城南町１－１５－１,H7.9.27
おかざき彩子の会,岡﨑　彩子,橘　幸英,東京都千代田区神田神保町２－１０,R4.3.11
